Country,AstraZeneca,Sputnik,SinoVac,Pfizer,Popular Company
Somaliland,50.2999004,49.9478667,49.2576738,44.9013736,Sinovac
Western Sahara,54.1945139,47.5106173,54.0596721,53.8871795,AstraZeneca
Algeria,52.979875,54.0475556,49.0005357,53.8601852,Pfizer
Angola,55.8201667,51.1294545,45.5952083,49.8091667,Sputnik
Benin,50.33425,48.577973,47.6675,50.7672727,Sputnik
Botswana,50.7755556,44.07175,46.4023333,49.779,Pfizer
Burkina Faso,39.5326829,41.4222727,34.9926923,51.6294681,Pfizer
Burundi,49.6232609,49.8439474,45.4525,49.5461905,AstraZeneca
Cameroon,41.8446,42.4296154,40.591875,44.9047222,Pfizer
Cape Verde,50.4775,50.4769048,52.3536842,48.7814063,Sinovac
Central African Republic,45.3560938,50.2073171,46.7819565,46.9877778,Sputnik
Chad,56.0015476,52.812,51.1834211,53.6665753,Pfizer
Comoros,50,50.3875676,51.0541667,55.0575,Sputnik
Democratic Republic of the Congo,51.1936765,46.2388333,40.49,50.3394872,Pfizer
Republic of Congo,43.63,57.925,56.25,53.45,Pfizer
Cote d'Ivoire,52.8158333,52.4936765,47.7952632,51.4304348,AstraZeneca
Djibouti,43.4373077,51.7102381,52.2768182,55.682,Sputnik
Egypt,50.1098485,52.2024,53.9809524,54.5081333,Pfizer
Equatorial Guinea,52.24875,52.80425,51.515625,52.5665625,Sputnik
Eritrea,44.5833333,37.7885417,44.3518182,38.4647222,AstraZeneca
Ethiopia,45.7787931,44.1303774,50.6214474,53.9262903,Pfizer
Gabon,60.33125,51.7596429,0,43.8233333,Sputnik
The Gambia,50.54875,49.14975,50,40.2855556,Sputnik
Ghana,50.3105128,48.4615517,57.8753333,48.6893902,AstraZeneca
Guinea,51.7510256,50.6366176,52.3803448,50.8080556,Pfizer
Guinea-Bissau,52.7303571,55.5352381,58.76,50.8278571,Sputnik
Kenya,55.0165909,51.1105357,48.508,56.085678,Pfizer
Lesotho,51.875,49.9329167,42.1455,48.2963636,Sputnik
Liberia,50.2560526,41.5753704,53.1859091,52.6580769,AstraZeneca
Libya,51.1902206,48.9997436,46.97,48.1563846,AstraZeneca
Madagascar,47.0983333,48.7096667,44.9609375,48.8938235,Sputnik
Malawi,49.4356481,49.0692857,48.8758696,50.66375,AstraZeneca
Mali,43.3682692,40.2966,35.6671429,40.5188889,Sputnik
Mauritania,49.8775,39.9719231,40.019,48.537,Pfizer
Mauritius,55.8632432,53.0484783,51.0945238,50.903125,AstraZeneca
Morocco,54.6810638,52.1405,51.0122414,51.2738889,AstraZeneca
Mozambique,47.3322222,40.8121429,43.2355,50.7063333,Pfizer
Namibia,54.79,50.381,56.9386364,47.8516667,Sinovac
Niger,50.2780556,41.5279167,38.5689474,51.6784615,Pfizer
Nigeria,48.7209302,52.5544444,55.4841304,47.4438136,Pfizer
Rwanda,45.8126316,45.3111538,60.0008333,52.9207895,Pfizer
Saint Helena,58.2371429,54.27125,56.3992308,51.631,Pfizer
Sao Tome and Principe,62.0975,54.5179167,71.075,46.26,Sputnik
Senegal,46.3755263,47.7206818,54.6406818,46.5427778,Sinovac
Seychelles,49.1801351,50.608,48.5244118,48.1220588,Sputnik
Sierra Leone,48.1503571,49.128913,47.545625,50.1597619,Sputnik
Somalia,38.88725,33.6809756,56.1025,45.03325,Sinovac
South Africa,48.8691139,52.7778409,54.0661404,54.7194118,Pfizer
South Sudan,50.037,50.5752,48.043125,48.5170588,Sputnik
Sudan,41.0226087,44.0448438,40.0461538,55.4847619,Pfizer
Swaziland,46.0183333,47.8031818,35.2,53.48375,Sputnik
Tanzania,46.976,46.9764063,38.5543333,48.9191667,Sputnik
Togo,72.02,54.7011111,0,50,Sputnik
Tunisia,47.10125,43.6871053,49.9736842,44.6047368,Sputnik
Uganda,49.9280556,47.6636538,45.8640476,51.8531818,Pfizer
Zambia,41.5275,50.6373529,52.2825,57.6526667,Pfizer
Zimbabwe,52.1298611,47.5577778,51.7853846,52.8641964,Pfizer
British Indian Ocean Territory,49.4822222,51.387125,45.8897222,51.452037,Sputnik