Country,Capital,Latitude,Longitude,Magnitude
Somaliland,Hargeisa,9.55,44.05,1
Western Sahara,El-Aaiún,27.153611,-13.203333,1
Algeria,Algiers,36.75,3.05,1
Angola,Luanda,-8.833333333,13.216667,1
Benin,Porto-Novo,6.483333333,2.616667,1
Botswana,Gaborone,-24.63333333,25.9,1
Burkina Faso,Ouagadougou,12.36666667,-1.516667,1
Burundi,Bujumbura,-3.366666667,29.35,1
Cameroon,Yaounde,3.866666667,11.516667,1
Cape Verde,Praia,14.91666667,-23.516667,1
Central African Republic,Bangui,4.366666667,18.583333,1
Chad,N'Djamena,12.1,15.033333,1
Comoros,Moroni,-11.7,43.233333,1
Democratic Republic of the Congo,Kinshasa,-4.316666667,15.3,1
Republic of Congo,Brazzaville,-4.25,15.283333,1
Cote d'Ivoire,Yamoussoukro,6.816666667,-5.266667,1
Djibouti,Djibouti,11.58333333,43.15,1
Egypt,Cairo,30.05,31.25,1
Equatorial Guinea,Malabo,3.75,8.783333,1
Eritrea,Asmara,15.33333333,38.933333,1
Ethiopia,Addis Ababa,9.033333333,38.7,1
Gabon,Libreville,0.383333333,9.45,1
The Gambia,Banjul,13.45,-16.566667,1
Ghana,Accra,5.55,-0.216667,1
Guinea,Conakry,9.5,-13.7,1
Guinea-Bissau,Bissau,11.85,-15.583333,1
Kenya,Nairobi,-1.283333333,36.816667,1
Lesotho,Maseru,-29.31666667,27.483333,1
Liberia,Monrovia,6.3,-10.8,1
Libya,Tripoli,32.88333333,13.166667,1
Madagascar,Antananarivo,-18.91666667,47.516667,1
Malawi,Lilongwe,-13.96666667,33.783333,1
Mali,Bamako,12.65,-8,1
Mauritania,Nouakchott,18.06666667,-15.966667,1
Mauritius,Port Louis,-20.15,57.483333,1
Morocco,Rabat,34.01666667,-6.816667,1
Mozambique,Maputo,-25.95,32.583333,1
Namibia,Windhoek,-22.56666667,17.083333,1
Niger,Niamey,13.51666667,2.116667,1
Nigeria,Abuja,9.083333333,7.533333,1
Rwanda,Kigali,-1.95,30.05,1
Saint Helena,Jamestown,-15.93333333,-5.716667,1
Sao Tome and Principe,Sao Tome,0.333333333,6.733333,1
Senegal,Dakar,14.73333333,-17.633333,1
Seychelles,Victoria,-4.616666667,55.45,1
Sierra Leone,Freetown,8.483333333,-13.233333,1
Somalia,Mogadishu,2.066666667,45.333333,1
South Africa,Pretoria,-25.7,28.216667,1
South Sudan,Juba,4.85,31.616667,1
Sudan,Khartoum,15.6,32.533333,1
Swaziland,Mbabane,-26.31666667,31.133333,1
Tanzania,Dar es Salaam,-6.8,39.283333,1
Togo,Lome,6.116666667,1.216667,1
Tunisia,Tunis,36.8,10.183333,1
Uganda,Kampala,0.316666667,32.55,1
Zambia,Lusaka,-15.41666667,28.283333,1
Zimbabwe,Harare,-17.81666667,31.033333,1
British Indian Ocean Territory,Diego Garcia,-7.3,72.4,1